timestamp,symbol,bid_price,bid_size,ask_price,ask_size,trade_price,trade_size
2025-08-06 11:48:21,SPY,632.74,500,632.79,280,632.74,100
2025-08-06 11:48:23,SPY,632.74,500,632.79,280,632.74,100
2025-08-06 11:48:26,SPY,632.76,370,632.81,400,632.76,200
2025-08-06 11:48:28,SPY,632.76,370,632.81,400,632.76,200
2025-08-06 11:48:30,SPY,632.76,370,632.81,400,632.76,200
2025-08-06 11:48:32,SPY,632.76,370,632.81,400,632.76,200
2025-08-06 11:48:34,SPY,632.76,370,632.81,400,632.76,200
2025-08-06 11:48:36,SPY,632.79,360,632.84,320,632.78,100
2025-08-06 11:48:38,SPY,632.79,360,632.84,320,632.78,100
2025-08-06 11:48:41,SPY,632.79,360,632.84,320,632.78,100
2025-08-06 11:48:43,SPY,632.79,360,632.84,320,632.78,100
2025-08-06 11:48:45,SPY,632.75,"1,260",632.80,760,632.76,41
2025-08-06 11:48:47,SPY,632.75,"1,260",632.80,760,632.76,41
2025-08-06 11:48:49,SPY,632.75,"1,260",632.80,760,632.76,41
2025-08-06 11:48:51,SPY,632.75,"1,260",632.80,760,632.76,41
2025-08-06 11:48:53,SPY,632.75,"1,260",632.80,760,632.76,41
2025-08-06 11:48:56,SPY,632.77,260,632.82,351,632.78,2
2025-08-06 11:48:58,SPY,632.77,260,632.82,351,632.78,2
2025-08-06 11:49:00,SPY,632.77,260,632.82,351,632.78,2
2025-08-06 11:49:02,SPY,632.77,375,632.82,451,632.77,50
2025-08-06 11:49:04,SPY,632.77,375,632.82,451,632.77,50
2025-08-06 11:49:06,SPY,632.77,375,632.82,451,632.77,50
2025-08-06 11:49:08,SPY,632.77,375,632.82,451,632.77,50
2025-08-06 11:49:10,SPY,632.77,375,632.82,451,632.77,50
2025-08-06 11:49:13,SPY,632.76,558,632.81,"1,450",632.77,5
2025-08-06 11:49:15,SPY,632.76,558,632.81,"1,450",632.77,5
2025-08-06 11:49:17,SPY,632.76,558,632.81,"1,450",632.77,5
2025-08-06 11:49:19,SPY,632.76,558,632.81,"1,450",632.77,5
2025-08-06 11:49:21,SPY,632.76,558,632.81,"1,450",632.77,5
2025-08-06 11:49:23,SPY,632.78,350,632.83,800,632.79,2
2025-08-06 11:49:25,SPY,632.78,350,632.83,800,632.79,2
2025-08-06 11:49:27,SPY,632.78,350,632.83,800,632.79,2
2025-08-06 11:49:29,SPY,632.78,350,632.83,800,632.79,2
2025-08-06 11:49:32,SPY,632.81,260,632.86,300,632.84,100
2025-08-06 11:49:34,SPY,632.81,260,632.86,300,632.84,100
2025-08-06 11:49:36,SPY,632.81,260,632.86,300,632.84,100
2025-08-06 11:49:38,SPY,632.81,260,632.86,300,632.84,100
2025-08-06 11:49:40,SPY,632.81,260,632.86,300,632.84,100
2025-08-06 11:49:42,SPY,632.78,350,632.83,760,632.79,10
2025-08-06 11:49:44,SPY,632.78,350,632.83,760,632.79,10
2025-08-06 11:49:46,SPY,632.78,350,632.83,760,632.79,10
2025-08-06 11:49:49,SPY,632.82,360,632.87,300,632.77,18
2025-08-06 11:49:51,SPY,632.82,360,632.87,300,632.77,18
2025-08-06 11:49:53,SPY,632.82,360,632.87,300,632.77,18
2025-08-06 11:49:55,SPY,632.82,360,632.87,300,632.77,18
2025-08-06 11:49:57,SPY,632.82,360,632.87,300,632.77,18
2025-08-06 11:49:59,SPY,632.82,250,632.87,385,632.80,100
2025-08-06 11:50:01,SPY,632.82,250,632.87,385,632.80,100
